ts_code,name,holder_name,hold_amount,hold_ratio
159865,养殖ETF国泰,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,128691000.0,1.37
159852,软件ETF嘉实,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,122126000.0,1.75
159995,芯片ETF华夏,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,280167000.0,1.92
159977,创业板ETF天弘,中央汇金投资有限责任公司,462012000.0,8.94
159952,创业板ETF广发,中央汇金投资有限责任公司,1091030000.0,15.43
159922,中证500ETF嘉实,中央汇金投资有限责任公司,2310720000.0,44.32
159919,沪深300ETF嘉实,中央汇金投资有限责任公司,19543700000.0,47.88
159919,沪深300ETF嘉实,中央汇金资产管理有限责任公司,15954800000.0,39.09
159915,创业板ETF易方达,中央汇金投资有限责任公司,11363000000.0,36.07
159915,创业板ETF易方达,中央汇金资产管理有限责任公司,5656820000.0,17.96
159901,深证100ETF易方达,中央汇金资产管理有限责任公司,693203000.0,33.94
159901,深证100ETF易方达,易方达基金－中央汇金资产管理有限责任公司－易方达基金－汇金资管单一资产管理计划,240000000.0,11.75
159901,深证100ETF易方达,中央汇金投资有限责任公司,25325300.0,1.24
